Card,Tip
None,1
Joke,1
Ad,0
None,0
None,1
None,0
Ad,0
Ad,0
None,0
None,0
None,1
Ad,0
None,0
Ad,1
Joke,1
Joke,0
Joke,1
None,0
Joke,0
None,0
Ad,1
Ad,1
Ad,0
Joke,0
Joke,1
Joke,0
None,1
Joke,1
Joke,1
None,1
Joke,0
None,1
Joke,1
Ad,0
Joke,0
Ad,1
Joke,0
Ad,0
Joke,0
Joke,0
Joke,1
None,0
None,0
Ad,0
None,0
None,0
Ad,0
Joke,0
Joke,1
None,1
None,0
Joke,1
Joke,1
Joke,0
None,1
Ad,0
Joke,0
None,0
Ad,0
Joke,1
Ad,0
None,1
Joke,0
Ad,0
Joke,0
Ad,0
Ad,0
Ad,0
None,0
Joke,1
None,1
None,0
None,0
Joke,0
Ad,1
Ad,0
Ad,1
Joke,0
Joke,0
Ad,1
Ad,0
None,0
Ad,0
Joke,0
Joke,0
Ad,1
None,1
Joke,1
Ad,0
None,0
None,0
Joke,0
Joke,0
Ad,0
Ad,0
Ad,0
Joke,1
None,0
None,0
None,1
Joke,0
Joke,0
Ad,1
Ad,0
Ad,0
Ad,1
Ad,0
None,0
Ad,0
Joke,1
None,0
Ad,0
Ad,0
None,0
Ad,0
None,0
None,0
Ad,0
None,1
Ad,1
Ad,0
Ad,1
None,0
None,0
Joke,1
Joke,1
Ad,0
Joke,0
Joke,0
Ad,0
None,0
None,0
None,0
Joke,1
Ad,0
None,0
Joke,0
Ad,0
Ad,0
None,0
Joke,0
None,0
Ad,0
None,1
Joke,0
Ad,0
Ad,0
Ad,0
Joke,1
Ad,1
Joke,1
None,0
Ad,0
None,0
None,0
Ad,0
Ad,0
Joke,0
None,0
Joke,1
None,1
Ad,1
Joke,0
Joke,0
Ad,0
Joke,1
Joke,1
Ad,0
Joke,1
Joke,0
Ad,0
Joke,0
Joke,0
Ad,0
None,0
Joke,1
Ad,0
Joke,0
Joke,0
None,0
None,0
Ad,0
None,0
None,0
None,0
None,0
Ad,0
None,1
Ad,0
Ad,0
Ad,0
Joke,1
Joke,0
Ad,0
None,0
Joke,1
Joke,0
Joke,1
Ad,0
None,0
Joke,1
Joke,0
Joke,0
Ad,0
None,0
Ad,0
Ad,0
Joke,0
Ad,0
Joke,0
None,0